timestamp,ax,ay,az
2026-07-08 09:40:44.887912+00:00,-0.0874,-1.036,-0.0073
2026-07-08 09:40:44.888842+00:00,-0.0317,-0.9926,0.0102
2026-07-08 09:40:44.889308+00:00,-0.0683,-0.9711,-0.0117
2026-07-08 09:40:44.890458+00:00,-0.0054,-1.0629,0.0434
2026-07-08 09:40:44.891834+00:00,-0.1401,-0.977,-0.0366
2026-07-08 09:40:44.892204+00:00,-0.082,-1.0975,0.0634
2026-07-08 09:40:44.892591+00:00,-0.0761,-0.956,-0.0249
2026-07-08 09:40:44.893206+00:00,-0.1113,-1.0258,-0.0142
2026-07-08 09:40:44.893568+00:00,-0.1064,-0.9052,-0.0156
2026-07-08 09:40:44.893945+00:00,-0.0883,-0.9584,-0.0132
2026-07-08 09:40:44.894258+00:00,-0.0908,-0.995,0.0132
2026-07-08 09:40:44.894531+00:00,-0.0693,-0.9672,-0.0156
2026-07-08 09:40:44.894738+00:00,-0.0054,-1.0624,0.0478
2026-07-08 09:40:44.895116+00:00,-0.143,-0.9804,-0.0366
2026-07-08 09:40:44.895440+00:00,-0.0752,-1.1039,0.0615
2026-07-08 09:40:44.895734+00:00,-0.0776,-0.9599,-0.0181
2026-07-08 09:40:44.895947+00:00,-0.1147,-1.0326,-0.0122
2026-07-08 09:40:44.896234+00:00,-0.1025,-0.9087,-0.0102
2026-07-08 09:40:44.896398+00:00,-0.0795,-0.9667,-0.0034
2026-07-08 09:40:44.896580+00:00,-0.103,-0.9911,-0.002
2026-07-08 09:40:44.896765+00:00,-0.0698,-0.9599,-0.0146
2026-07-08 09:40:44.896920+00:00,-0.001,-1.0453,0.0503
2026-07-08 09:40:44.897107+00:00,-0.1288,-0.9262,-0.0351
2026-07-08 09:40:44.897275+00:00,-0.0869,-1.1004,0.061
2026-07-08 09:40:44.897428+00:00,-0.0664,-0.9687,-0.0078
2026-07-08 09:40:44.897639+00:00,-0.1122,-1.0497,-0.0166
2026-07-08 09:40:44.897746+00:00,-0.1035,-0.9848,-0.0054
2026-07-08 09:40:44.897839+00:00,-0.0634,-0.9867,0.0112
2026-07-08 09:40:44.897927+00:00,-0.1337,-0.9755,-0.0229
2026-07-08 09:40:44.898071+00:00,-0.0581,-0.9565,-0.0142
2026-07-08 09:40:44.898226+00:00,-0.0171,-1.1107,0.0508
2026-07-08 09:40:44.898358+00:00,0.0034,-0.9257,-0.0268
2026-07-08 09:40:44.898513+00:00,-0.1132,-1.0892,0.0468
2026-07-08 09:40:44.898724+00:00,-0.0615,-0.9643,-0.0107
2026-07-08 09:40:44.898910+00:00,-0.1103,-1.0697,-0.02
2026-07-08 09:40:44.899045+00:00,-0.0991,-0.9823,-0.0044
2026-07-08 09:40:44.899155+00:00,-0.082,-1.0043,0.0151
2026-07-08 09:40:44.899307+00:00,-0.1552,-0.9814,-0.0283
2026-07-08 09:40:44.899531+00:00,-0.0434,-0.956,-0.0268
2026-07-08 09:40:44.899729+00:00,-0.0405,-1.1141,0.0478
2026-07-08 09:40:44.899960+00:00,0.0146,-0.9121,-0.0205
2026-07-08 09:40:44.900234+00:00,-0.1347,-1.0838,0.0429
2026-07-08 09:40:44.900462+00:00,-0.0551,-0.9457,-0.0098
2026-07-08 09:40:44.900849+00:00,-0.0976,-1.0414,-0.0132
2026-07-08 09:40:44.901695+00:00,-0.0488,-0.9692,-0.0078
2026-07-08 09:40:44.901964+00:00,-0.1122,-1.0102,0.0122
