timestamp,ax,ay,az
2026-07-08 09:55:05.083526+00:00,0.0283,-1.3376,0.2313
2026-07-08 09:55:05.083710+00:00,-0.2235,0.2762,-0.7686
2026-07-08 09:55:05.084032+00:00,0.4226,-1.6568,0.4016
2026-07-08 09:55:05.143710+00:00,-0.6471,-1.1229,-0.3797
2026-07-08 09:55:05.144165+00:00,0.2162,-1.3771,0.2435
2026-07-08 09:55:05.144658+00:00,-0.3235,-0.9799,-0.0337
2026-07-08 09:55:05.144986+00:00,0.0834,-0.3597,-0.4714
2026-07-08 09:55:05.145093+00:00,0.163,-1.9866,0.3953
2026-07-08 09:55:05.145174+00:00,-0.5529,0.285,-0.7383
2026-07-08 09:55:05.193825+00:00,0.385,-1.4762,0.3377
2026-07-08 09:55:05.194173+00:00,-0.8203,-1.0965,0.0434
2026-07-08 09:55:05.194418+00:00,0.1508,-1.0926,0.1376
2026-07-08 09:55:05.194759+00:00,-0.083,-1.808,0.0917
2026-07-08 09:55:05.195005+00:00,-0.3172,0.1386,-0.7066
2026-07-08 09:55:05.256307+00:00,0.3387,-1.8217,0.4909
2026-07-08 09:55:05.256977+00:00,-0.5339,-0.8823,-0.0517
2026-07-08 09:55:05.257369+00:00,0.2645,-1.138,0.1898
2026-07-08 09:55:05.257645+00:00,-0.2772,-1.0224,0.0059
2026-07-08 09:55:05.257844+00:00,0.0678,-0.5187,-0.3274
2026-07-08 09:55:05.258093+00:00,0.0649,-1.8163,0.5222
2026-07-08 09:55:05.308175+00:00,-0.6891,-0.5661,-0.7471
2026-07-08 09:55:05.308536+00:00,0.3177,-1.4947,0.3406
2026-07-08 09:55:05.308910+00:00,-0.6349,-1.1551,0.0298
2026-07-08 09:55:05.309456+00:00,0.1718,-1.079,0.0317
2026-07-08 09:55:05.309831+00:00,-0.0976,-1.5982,0.0922
2026-07-08 09:55:05.371420+00:00,-0.0898,-0.1459,-0.551
2026-07-08 09:55:05.371773+00:00,0.1972,-2.014,0.5768
2026-07-08 09:55:05.372031+00:00,-0.5719,-0.832,-0.1005
2026-07-08 09:55:05.372305+00:00,0.3728,-1.22,0.3177
2026-07-08 09:55:05.372595+00:00,-0.2928,-0.9853,0.0278
2026-07-08 09:55:05.372826+00:00,-0.1762,-0.9199,-0.1035
2026-07-08 09:55:05.373071+00:00,-0.0332,-1.9256,0.5285
2026-07-08 09:55:05.419335+00:00,-0.4133,-0.0805,-0.5348
2026-07-08 09:55:05.419751+00:00,0.3484,-1.3801,0.4509
2026-07-08 09:55:05.419989+00:00,-0.307,-0.9565,-0.0425
2026-07-08 09:55:05.420132+00:00,0.2455,-1.201,0.123
2026-07-08 09:55:05.466043+00:00,-0.2133,-1.4323,0.2962
2026-07-08 09:55:05.466849+00:00,-0.1664,0.3143,-0.449
2026-07-08 09:55:05.467534+00:00,0.427,-1.8695,0.5397
2026-07-08 09:55:05.468149+00:00,-0.5134,-0.4255,-0.2372
2026-07-08 09:55:05.468518+00:00,0.3377,-1.1414,0.1488
2026-07-08 09:55:05.528069+00:00,-0.3436,-0.996,0.0405
2026-07-08 09:55:05.528454+00:00,-0.083,-0.9965,-0.0312
2026-07-08 09:55:05.528798+00:00,-0.0151,-1.6963,0.4236
2026-07-08 09:55:05.529069+00:00,-0.1669,0.2172,-0.7081
2026-07-08 09:55:05.529283+00:00,0.4114,-1.2049,0.5222
2026-07-08 09:55:05.529563+00:00,-0.468,-1.099,-0.041
2026-07-08 09:55:05.590836+00:00,0.1044,-1.181,0.1386
2026-07-08 09:55:05.591247+00:00,-0.2606,-1.3127,0.2152
2026-07-08 09:55:05.591637+00:00,-0.2147,0.246,-0.7647
2026-07-08 09:55:05.591940+00:00,0.4163,-1.6895,0.5744
2026-07-08 09:55:05.592229+00:00,-0.6451,-0.3113,-0.405
2026-07-08 09:55:05.592612+00:00,0.3694,-1.3713,0.2464
2026-07-08 09:55:05.593025+00:00,-0.3021,-0.9301,-0.0503
2026-07-08 09:55:05.641115+00:00,0.1059,-0.3841,0.0854
2026-07-08 09:55:05.641781+00:00,0.1532,-1.5894,0.3826
2026-07-08 09:55:05.642102+00:00,-0.2015,0.284,-0.7379
2026-07-08 09:55:05.642580+00:00,0.4138,-1.486,0.3396
2026-07-08 09:55:05.702315+00:00,-0.8203,-1.0965,-0.2094
2026-07-08 09:55:05.702570+00:00,0.1503,-1.1097,0.1347
2026-07-08 09:55:05.703078+00:00,-0.3357,-1.0848,0.0888
2026-07-08 09:55:05.703851+00:00,-0.1322,0.1298,-0.7032
2026-07-08 09:55:05.704252+00:00,0.3304,-1.8202,0.4909
2026-07-08 09:55:05.704435+00:00,-0.5319,-0.8843,-0.507
2026-07-08 09:55:05.705007+00:00,0.2655,-1.1629,0.1874
